stars,comment
1.0 out of 5 stars,"I bought it last year from Amazon during Sale. It  suddenly stopped working twice in span of 1.5 yrs. I am unable to switch it on. After three months of purchase, I took it to service centre and they told that the logic board has to be replaced. The cost is around 45000. Luckily it was in the warranty. Now again after a eight month of replacement, it's dead again. I am helpless. I dont want to invest more into that. I used the laptop very carefully but I think Amazon sent a defected piece on sale."
5.0 out of 5 stars,"I purchased this for my mother, she is a prolific writer / poet and spends a ton of time on computers these days as a result. She has had fairly bad experiences with build quality, frequent hardware issues with other brands in the past and so wanted a good sturdy sleak laptop, this was a perfect  fit for her, especially now that the price was reasonably low and discounted, it was a no-brainer.
            "
1.0 out of 5 stars,"For a full year until the warranty was valid, this MacBook Air worked like a charm. Then it died. No response to power button. No internal mechanical movement. The laptop is just dead. I gave it for repair at an Apple authorized service center and they told me it was a failed Power Section and IC. I paid Rs. 13,300 for replacement and service charge of these parts only for the laptop to run fine for a couple of days and then die out in th same way. The dealer says I would have to pay the same amount to get the parts replaced again with no guarantees that the issue won't turn up again. Never trusting an Apple product again. For such a rich money hogging brand, they offer the shoddiest quality of service and products ever."
1.0 out of 5 stars,It did not run properly for even a week...it is on service centre from 20 days
3.0 out of 5 stars,"I wanted to purchase the product in no cost EMI as what was displayed, but due to amazon internal error I had to purchase it on one go, so bit unsatisfied with amazon. Rest the product was good.
            "
1.0 out of 5 stars,"I purchased this product in February 2018 from Amazon. The power button started giving problems in end-May 2019. The computer just would not startup. I scanned the Net for such problems.  A lot of work arounds: push the Start button+ shift button etc. This worked for a few days. Then such work around too stopped working at all - the computed refused to start-up once shut down. Surprisingly, I ran the computer diagnostics on the Macbook, and the diagnostics program could not find any defect! I was surprised that even if the program could not find a defect on the computer, yet the computer once shut down would not start up.Secondly, finding a  Macbook authorised service center too is an onerous task in India. The Service center informed me that there is a problem with the mother board. And it needs to be replaced. Wow! Next time I would stick to my windows notebook, would never purchase a Macbook again!"
1.0 out of 5 stars,"Was shocked to received a defective Apple MacBook. The device was not booting. Amazon was prompt in sending service Engineer, who certified the item defective. This item was replaced with a brand new MacBook as per Amazon policy. However to my dismay, this new MacBook also had a similar defect, which was again certified by the service Engineer. Apple is the world leader in laptops, and what amazes me is the 'QC' or the lack of it.Finally I had to request Amazon to refund the amount, which they did.
            "
4.0 out of 5 stars,"well I have been using a windows laptop in the premium category for quiet some time.most of my time was spent dealing with driver issues with oem manufacturers, colossal problem with heating, os stutter in a 16 gb ram machine.i decide the pros and cons and again switched back to MacBook Air .1)the trackpad works like a dream.not like horrible windows with lag and stutter.multi gesture is a dream2) admittedly the display is not hd.but trust me much better than the much touted hd displays of horrific windows laptops I have used.in the same price range3)I am not a video editor but I am sure high end editing on 4k etc will be a challenge.but routine like image editing etc will be not an issue.if vfx pro etc is your daily grime look the Mac book pro4)routine work is a breeze..like..so cool the intuitive..experience...more so if you are in to the experience of apple ecosystem..airdrop etc...is very easy to comprehend5)the built quality and the battery is simply superb.here the low res display helps in easily 10-11 hours of usage.and 2 weeks of standby6)it is lighter and slimmer even than the new MacBook Air.7)no other MacBook has the glowing apple logo if it means much to you.maybe a collectible later:-)8)daily tasks are a breeze..however high end gaming will take a hit..tip:try and go for the extended warranty...at an apple store/apple protection plan"
5.0 out of 5 stars,"I have been a Macbook pro user for last 2 years. I came across the new Macbook air and got a chance to put hands on it. So here is a brief review on my first impressions. Basically i will be comparing this with a regular laptop of similar price range and Macbook PROAir benefits compared to Non Apple laptop:# Slim and light weight for daily travel# 10-11 hours battery backup on normal usage# Apple touch pads are awesome, smooth and responsive compared to any premium laptop# Audio quality on speakers is good, but not as loud as my Macbook Pro 13# Apple front camera works the best in low light, best for low light skype calls# SSD - Apps launch very fast despite the low power processor# Metal body construction# Mag safe charger- If you are really careless this helps very much.# Ambient light sensor that adjusts brightness automatically ( Many people are not aware of this feature)# Keep your Air closed or leave somewhere idle and check back after 2 or 3 days, you will see battery has dropped less than 3 or 4 %# The best part - Mac OS, contains all that you need, a neat calendar, Todos app, notes, Quicktime, Mail app etc. Hassle free OSAir demerits compared to Non Apple laptop:Air demerits compared to Non Apple laptop:# Performance is on lower side# Good for basic usage only, internet, movies, video calls, spreadsheets, mail# You will get better display(Full HD) if you buy a 999$ Ultrabook from US (In India they come at premium)Should you consider Macbook PRO? - PRO advantagesI know a lot of people might be confused whether to go with PRO for some additional bucks. So listing benefits of pro from my experience"
1.0 out of 5 stars,"Stopped working before I could repay the EMI's. Just after the warranty expired, the laptop refused to turn on. Apple repair center asks Rs 43000 for spare part. I am throwing it in trash and never buying an apple product again."
5.0 out of 5 stars,"Amazing product..it has quality written all over it..great battery, easy to adapt if you are moving from windows..the trackpad, gestures, everything is so damm goodHad read many reviews about the display being bad...it is..if you are trying to look at atomic level details..its a fantastic screen with great audio output..Everything g screams quality and premium about the macbook..love it.
            "
1.0 out of 5 stars,From the very beginning the battery life was horrible . hardly 2 hours. And after using it for just a year it just stopped working . and i cannot even charge it. Terrible product sold by Amazon
5.0 out of 5 stars,"The rating isn't for Apple's performance. I exchanged my old MacBook Air 11' (2013) for MacBook Air 13.3' (2017): and I haven't been disappointed. They both are fantastic machines, there isn't a bit of change except the screen - it is slightly bigger and better...The rating for the seller - I would give 5 star for delivery and 4 star for packaging. However, the product came with multiple scratches. I am unable to conclude whose fault it is- Apple or the reseller (in this case - Cloudtail India Pvt Ltd).I have restored my previous backup and will observe the performance over the week. If it under performs- I will report it to the authorities. If it performs well, the scratches may have been anyone's fault but can be ignored...I shall update this review in a week's time..."
5.0 out of 5 stars,"I preferred this over other good spec windows laptop, just for reason mac. 128 gb ssd was only concern as it may not be sufficient however adding external hd or flash drive will do the job for u. Overall even the screen is not full hd i did not find it much of the issue, however If u r concern about good display must for consider this as option. Additionaly over 13000 discount in last sale made this perfect deal."
1.0 out of 5 stars,"When i received, within 15 days i realised the hinges were loose. Then after less than 2 months very rare use i got a line on the display. The replacement window was only 10 days. Now i have given it for service and even apple doesn't have a replacement policy. So i have to use a repaired device inspite of buying new. Very disappointing."
1.0 out of 5 stars,"Be careful while buying electronic products through Amazon.I bought this macbook for 56k on March 2018. After 1.5 years of usage, the display stopped working for no reason. The device never had any accidental drop or shock while I was using it through these years. The service center guy told me it would cost around 41k for screen replacement. Now I'm left with no option.If you are buying, I suggest you to buy it along with a protection plan or any extended warranty."
5.0 out of 5 stars,MERITS..IT IS BEST IN ITS PERFORMANCE..SOUND QUALITY IS AMAZING..NICE PICTURE QUALITY...GREAT STABILIZATION..BEST UI(USER INTERFACE)..BEST LAPTOP FOR NORMAL HUMANS🤣 >50KDEMERITSCANNOT BE USED FOR GAMINGbut If You areNot a Productive person Then only You Play games..And...THERE's nothing much bad about
5.0 out of 5 stars,3 years and still running! great product
4.0 out of 5 stars,"The elegant work of apple can be seen in this product. The design, the user friendliness, the compactness can be easily seen in this laptop. Coming to the performance, the speed of this is remarkable, and you can get to know the power of Mac os when you have another apple product. You can get one of the best movie experiences on this . Overall I would it a 4.5/5."
5.0 out of 5 stars,"I got a great deal on this laptop, which I have been using for almost a year now. I got it not only on discount but also was able to exchange my old laptop with this! Laptop works really well, it was a good purchase!
            "
5.0 out of 5 stars,"Macbook Air is just awesome product. Worth of money spent. Its not a laptop only, but a gadget meant for genius people. There are lot of smart features, nd overall the m/c is really robust. Stev jobs's ceation is really a wonder. Thanks Amazon for making available this product at a very competitive price tag.
            "
