stars,comment
4.0 out of 5 stars,"First of all, i want to start by expressing how much i liked the product, its looks and feels like a solid midrange laptop for everyday use. The design is sleek and simple, i was disappointed with the fact that it is difficult to find a simple laptop that doesn’t cost an arm and a leg. All in all i liked the laptop, a lot! *The rating is for the product* not the for the story belowHowever, the main purpose of this review is not about the laptop’s performance, design etc... its about how I got scammed and was sent a laptop with specs that I didn’t order.So the story goes like this, i get on amazon, I add a Microsoft surface laptop (i5, 8 GB RAM, 256 GB SSD) to my cart, i place the order, several days later I get the package, i set up the laptop started checking it out. I had a feeling that i should check out the computer’s spec, you know just curious. I was shocked when i found out that the specs of the laptop were (i5, 4 GB RAM and 128 GB SSD!!!!!!!) i was really confused, i double check the label on the back of the box and saw that it says (i5, 8GB RAM, 256 GB SSD), but the laptop has different specs, and what is more confusing is that the serial number of the laptop matches the number on the box. So to me it seemed like it was an attempt to pull a quick one on me. I ended up returning the laptop of course... I am still disappointed that such scam attempts could happen on amazon!Check your laptops everyone! Don’t get scammed like i did.
            "
5.0 out of 5 stars,"I’ve been looking for a replacement for my 5-year-old MacBook Air and I think I may have finally found it in the Surface Laptop by Microsoft. There are some things I wish Microsoft had done differently, but for the most part, the Surface Laptop might just be the Windows version of the what the Air was for years: a reference laptop for the masses.PROS:- Clear, high resolution touchscreen- 3:2 aspect ratio great for documents and web browsing- Best laptop keyboard I’ve used yet- Precision touchpad is the best I’ve used on a Windows laptop- Solid build quality- Alcantara fabric looks and feels great- Great color options (but where’s charcoal or black?)- Long battery life- Good performance for productivity and everyday tasks- Less than 2.8 poundsCONS:- Small selection of ports- Slow SSD in 256GB models- Windows 10 S is not the Windows you want- A little priceyI’ve been a Windows user for years and almost always built my own PCs. When it came to laptops, I primarily stuck with Dell systems. Five years ago, I decided I wanted something that was actually a little bit sexy and something that allowed me to use it as a tool to make me better, rather than me always trying to make the tool work better. That ended up being the MacBook Air. Three years in, I was sold on OS X and wanted a MacBook Pro. I waited patiently for the MBP to get updated, only to be let down by the keyboard and the gimmicky Touch Bar. I’d already convinced myself that I only wanted an Apple laptop, but their entire lineup is kind of crap now. I took a very close look at the usual Windows alternatives, like the Yoga 910, XPS 13, and Spectre x360. For one reason or another, none of them really excited me. I already had a Yoga 2 Pro and a Dell Latitude for work, so I was looking for something to wow me. Then a few days ago, the reviews for the Surface Laptop finally started to trickle out from outlets like the Verge, Laptop Magazine, and Engadget. To say that the reviews were glowing would be an understatement. I decided to go ahead and pre-order it from the Microsoft Store online. Unfortunately, there wasn’t an estimated arrival time, so I had no idea if I was going to get it next week or next month. I ended up finding one at a brick and mortar store with the big yellow sign. It didn’t take me long to figure out that this one was going to be a keeper.DESIGN & PORTSI’ve always liked the design cues of the Surface portables. The big difference with the Surface Laptop is obviously the Alcantara fabric used on the keyboard deck. It looks great and feels even better. From the photos, it looks like the weave of the fabric is rather large, but that’s not the case at all. My hands get pretty dry from washing them frequently and I was afraid that my skin would snag on the fabric, but the weave is super tight and feels very soft to the touch. The aluminum on a MacBook Air is smooth, but almost always cold. The Alcantara is smooth and, uh, not cold. I'm not saying it's warm, just very comfortable. Now that I know what it feels like, I want it on all my keyboards. There’s some question on durability and whether it will get grimy over time. To me, it looks pretty easy to wipe down and there’s a special coating on it to help keep it clean. I’m not that worried about it, but just in case, I’ll probably be a little more careful than usual about eating while I’m using it.I like all the colors that are being offered and I had a hard time choosing one.  Ultimately, I chose the Cobalt Blue. Burgundy was my second choice. I bet a really dark black would also look great. The left side of the Surface Laptop has a USB 3.0 port, Mini DisplayPort, and a headphone jack. The right side has the proprietary Surface power port. That’s it. No memory card reader, not even a microSD one, no HDMI, and no Type-C. My wish would’ve been for at least one Type-C port. Microsoft can do whatever they want, but a Type-C port would’ve helped “future-proof” the Surface Laptop a little bit. Sure, the Surface Dock is a pretty cool accessory that adds more ports while charging, but it’s not exactly a bargain at $200 and that does nothing for you when you’re traveling.DISPLAY and SPEAKERSThe 13.5-inch 2,256 x 1,504 pixel display on the Surface Laptop is great. It’s colorful, bright, and clear. In all honesty, if Apple had just put their retina display in the Air, I would’ve bought that long ago and been satisfied. Instead, they ignored the Mac while they played around with a watch, tablets, and some phone everybody seems to like (including me). The 3:2 aspect ratio is kind of refreshing. The 16:9 aspect ratio is fun for photos and movies, but aren’t the best for reading documents and websites. I don’t mind the black bars on the top and bottom when watching movies, if it means I can see more of my documents and web pages. The Surface Laptop has adaptive brightness enabled in Windows 10 by default and it actually works subtly enough that it’s not annoying. I barely notice it, unlike the Dell XPS 13, which I could not stand at all and annoyingly, couldn’t be disabled in the Full HD version.  I almost forgot to mention that the display is a touchscreen—duh! It supports the Surface Pen, not that you’re likely to use it on this screen. Whenever I’ve used the touchscreen, it’s been very responsive and with Gorilla Glass 3, it should be very durable.The speakers on the Surface Laptop are located underneath the keyboard, which is unusual, if not innovative. They sound great and get pretty loud without getting distorted. I mean, they’re still laptop speakers, but they’re some of the better sounding speakers inside of a non-gaming laptop.KEYBOARD and TOUCHPADThe keyboard is delightful. I know that Thinkpad keyboards are supposed to be the best, but I just like the Surface Laptop keys so much—more than the Air, more than the XPS 13, and more than the Spectre x360. The Spectre x360’s keyboard is actually quite good, but I still prefer the Surface Laptop’s. Key travel is 1.5mm on the Surface Laptop, which is probably right at the edge of what is comfortable and what is tolerable. Anything less for me is usually about tolerating it. The XPS 13 is 1.2mm and the Spectre x360 is 1.3mm. The Surface Laptop keyboard is backlit and is adjustable in 3 steps (3 brightness levels and off).The touchpad on the Surface Laptop is a Microsoft Precision touchpad, which the XPS 13 also uses. It’s fantastic. The touchpad on the Air was one of the primary reasons why I felt Apple laptops were always superior to PC laptops, but the gap between them is now insignificant, as long as the PC is using Precision touchpads. Why some PC makers aren’t making the switch is beyond me, but I think it’s a huge mistake. If you’re a Windows user and have been using non-Precision touchpads for years, the difference will be immediately noticeable and going back to using, buggy, jumpy, imprecise touchpads will make you wonder why you’ve been living like that.PERFORMANCEThe Surface Laptop in its Core i5, 8GB RAM, and 256GB SSD configuration is a solid performer. It boots up and shuts down really fast. Browsing the internet, using Office, and performing other general tasks was speedy and I hardly ever felt like I was waiting for it to catch up to what I wanted it to do. That being said, this is not a “pro” or “gaming” laptop. Minecraft is OK. Overwatch, not so much. The 7th-gen Core i5 CPU and its integrated HD 620 GPU can only do so much. Still, light Photoshop or Lightroom work is perfectly fine. The biggest downer for me is the slow, Toshiba SSD that’s integrated onto the mainboard. What. The. Heck. The THNSN0256GTYA Toshiba drive is an NVMe SSD, but according to CrystalDiskInfo, only supports PCIe 3.0 x2. I measured sequential read/write rates of only 650 MB/s read and 238 MB/s write. All of my old 2.5-inch SATA SSDs have faster write speeds than that, so I’m really disappointed with these speeds. My Intel NUC has a Samsung 960 PRO that performs at 3,239 MB/s read and 2,061 MB/s write using all 4 PCIe lanes. I’ve read that the 512GB Surface Laptops use faster Samsung SSDs, but unfortunately, you have to move to the Core i7 model at $2,199 to get it. You can’t get 512GB of storage in any other configuration. Playing devil’s advocate, the slower SSD probably means better battery life and cooler components that don’t need to be cooled by a loud fan as often, so it’s definitely a compromise that’s understandable. Also, in real-life use, the differences probably won’t be that noticeable unless you’re frequently copying or moving large amounts of data. I was already aware of the slow SSD on the 256GB model and felt the compromise was worth making and I definitely wasn’t going to pay for the top end model just to get faster write speeds. The 8GB of RAM is probably the sweet spot for most users. I use Hyper-V virtual machines all the time, so more RAM is preferable, but I have other systems, including my NUC and Dell Latitude, that have the resources for that purpose. I would never, ever buy a laptop with only 4GB of integrated RAM.The wireless card is a Marvell AVASTAR Wireless-AC card. I’m used to Intel or Killer Wi-Fi cards and didn’t even know Marvell made wireless cards. I’ve had no problems with it so far, so hopefully it'll continue to be fast and reliable.From what I’ve read, most reviewers have been getting between 7-10 hours of use with the Surface Laptop. So far, that's about what I’m getting as well, which is a big improvement over my 2012 MacBook Air, 2013 Yoga 2 Pro, and 2016 Dell Latitude.SOFTWAREAs you may have heard, the Surface Laptop comes with Windows 10 S. You can read more about it online, but I never intended to use the Surface Laptop with anything less than Windows 10 Pro. Upgrading from Windows 10 S to Windows 10 Pro is free for a limited time, though, some analysts think Microsoft may extend that offer. Otherwise, you have to pay to upgrade to Pro from S. You do need a Microsoft account to get the free upgrade, so you can use the Store app. I also used it to download Office and register for my free year of Office 365. After I upgraded to Windows 10 Pro and installed Office, I had about 211GB of storage remaining on the 256GD SSD. The remaining storage should be plenty for most people to install a lot of other programs and store documents. You obviously can’t store your photo, music, or video archive on it, but that’s true of most notebooks with SSDs. The only other thing to note about software is that the Surface Laptop did not come with any 3rd party crapware or trialware. Oh, I should also mention that the Surface Laptop has a TPM chip, which means you can use BitLocker to encrypt your SSD after you've upgraded to Windows 10 Pro.CONCLUSIONIt looks like the Surface team took everything they’d learned from building the Surface Pro, Surface Book, and some of their accessories, and applied it to the Surface Laptop. It resulted in a fantastic laptop that I think most people will want and most people will be happy with. To me, it’s a desirable laptop that checks off most of the features and design elements that I personally want and like. How well it functions is reminiscent of what I used to hear people say about Macs: it just works. Regarding its physical design, I’d say it’s no less appealing than a MacBook, and arguably more so. There were some compromises made, like the slower SSD and lack of ports, but I don’t think they’ll be deal breakers for most. The Surface Laptop is terrific and there’s no other laptop I’d rather have right now.
            "
2.0 out of 5 stars,"Had my doubts about the lack of ports, however for the size and power inside, I'm glad I bought it! It is a huge upgrade from my last laptop and has handled everything I throw at it so far. I had to order a usb 3.0 hub, but the dongle life is not an issue for me. I also got a display port cable to hook up to monitors and televisions.UPDATE: Apparently I was sent a lemon. It blue-screen crashed multiple times in the span of 1 week, even after a clean install of Windows 10. The laptop also seemed to overheat with chrome open on 2 tabs and spotify in the background. I checked to see what processes were running in the task manager, but none were drawing too much RAM or CPU usage. I had to return my Surface Laptop which is a shame because it is such an attractive product.
            "
5.0 out of 5 stars,"I work in IT so I get to see/touch and go through a lot of Windows PC's, Chromebooks and tablets.This is, by far, the best computer of any sort, Mac or otherwise, that I have ever touched, seen, owned or used. It's just perfect in every way.The hardware design is beautiful. It has a solidness to it that feels Apple or Mercedes quality. The screen is beautiful, touch, and it's fast.Battery life is great, performance is great, the keyboard has a perfect travel distance and click for those of us that are rapid typists-- you won't be disappointed.It has ""real"" usb connectivity which is so uncommon these days. The touchpad is glass and sensitive enough that I will use it. Previously Mac was the only computer with a good enough touchpad that I was willing/able to give up a wireless mouse.I could not be more pleased with this computer, I love it to the end of the world and back. I never thought I'd be considered a fanboy of any product, but here I am.
            "
4.0 out of 5 stars,"After many years of experimenting with the Surface products, Microsoft has finally launched a laptop that many people have hoped for.  While the early reviews praise the efforts that Microsoft has taken to make a premium laptop, a few questions remain on everyone's mind: 1) Will the alcantara material be easy to maintain?  2) is it worth the premium price?  3) why isn't USB-C included?Alcantara Keyboard and other thoughts on design:  The thin and premium design is one of the biggest selling points for the Surface Laptop (SL).  This is a device that is built to last and will make your friends envy.  You can open the lid with one finger.  In many ways, Microsoft has tried and matched the build quality of Macbook laptops.  The surprise in the Surface Laptop is the incorporation of the alcantara material around the keyboard.  Alcantara, for the uninitiated, is a special material that Microsoft has been using since its Signature type covers of the Surface Pro 4's.  It is the same material as used in luxurious car interiors.  Sounds wonderful.  But unlike car interiors, we will be resting our palms and wrists on the alcantara covers surrounding the trackpad.  So, how long can alcantara last?  A few searches on YouTube shows that alcantara can suffer from some wear and tears, and you can get some unsightly stains from your sweat or if you use some lotions or if your hands are busying typing while trying to apply makeup at the same time.  Microsoft recommends treating this as any luxurious good and promises that the material has a better/more stain resistant finish compared to the previous keyboards.  Personally, I think this is a daring step by Microsoft but I would prefer to have a metal based area around the keyboard.""Is this worth all your beer money?"" and other thoughts on performance: As others have already mentioned, this is a really nice laptop in terms of performance... but only if you get the i5, 8GB version. It's not that you can't get by with 4GB of RAM, it is just that you are investing over $1000 in a computer, so you want it to last a few years.. and 8GB RAM will get you there whereas 4GB will have you staring at that little hourglass next to the mouse pointer for a long time.  Okay, so that effectively puts you in the $1299 and up range.  Comparable laptops would run you.... Actually, there isn't a single comparable Windows laptop out there.  I think we usually like to compare computers based on the components used inside, but we forget a lot of the other things that make a laptop an enjoyable, productive experience.  In this case, we have a ridiculously high definition, multi-touch screen that can take pen input with varying amount of pressure.  This has a 3:2 aspect ratio that is outstanding (read: more vertical space) for browsing the web and reading when compared to the ubiquitous 16:9 ratio that makes your neck strain.  Then there is the nice battery life and that, if you live close to one, you will have in person support at the Microsoft Store.  When you add all of those things together, you get a one-of-a-kind laptop that does not have a match yet.  Having used several laptops and tablets, I can tell you that these little things matter to me (a student who is constantly reading, annotating PDFs, taking notes and on the go).  To me, this is totally worth the price... especially if you use the Microsoft student pricing.Why didn't Microsoft put in some USB-C ports?  For those who are unfamiliar, USB-C is the future of USB connectors... in the most simplistic terms, think of it as a reversible USB cable (but it has some other cool features too like faster data transfer speeds).  Many tech reviewers and enthusiasts were perplexed, to put it lightly, when the new Surface Laptop and the Surface Pro did not include this promise of future.  Panos Panay, the man in charge of the Surface line, puts it best when he says that the world of USB-C is still too confusing.  What he means is that some USB-C have Thunderbolt capabilities while others may not, some accessories may work well with USB-C cables and some may not, and lots of older technology may not play nice with USB-C.  This creates a big headache for the consumer.  If I buy a nice laptop, I want to be able to plug it in to whatever device I need and expect it to work.  More importantly, this device is geared to the education market, and Panos made a point in the unveiling that the strength of the laptop and Windows 10S is that it can work with most of the peripherals that teachers use for teaching (i.e. a robotics tool kit connected via USB-A).  In essence, Microsoft was faced with the question of ""having something that works today"" vs. ""having something that will work in the future but probably not today.""  It was a risky move, and many have criticized for Microsoft not having both a USB-A and USB-C port.  In my mind, I'm okay with not having the USB-C port.  USB-C enabled accessories are not widely available yet, and I'm not very big on carrying multiple dongles.  As a student, I know that the regular USB cables will work with my laptop, and that is good enough because my school has not invested to update all of their peripherals to be USB-C.Who is this for:  This is ideal for students, especially those whose majors don't require a ton of computer processing power (i.e. liberal arts studies).  Engineers might want to double check their schools' recommendation before taking the plunge.  If you do get this, please upgrade to Windows 10 Pro, which should be free until the end of this year.If you are still reading this... thank you!  I know there are a lot of reviews on the laptop already, so I hope answering these three questions will help you make your decision easier.  I appreciate you taking the time to read my two cents, please let me know if you have any questions.
            "
5.0 out of 5 stars,"I got the Intel Core i5, 4GB RAM, 128GB model and so far Im happy with it so far. But before I write my review, this laptop comes with Windows 10 S installed, wich means you cant download software from anywhere that is not the Windows Store, but theres no need to get angry, this can be fixed very easily. What I did was opening my browser and downloading something, anything, I downloaded Chrome I think. So after that it will warn you and ask if you want to upgrade to Windows 10. Very easy, and free.Pros-Its very lightweight-looks beautiful-the 4gb Ram Model is enough for doing photo editing (Photoshop and Lightroom) I havent tried editing video tho (yet)-the face recognition unlock is crazy fast-the touch screen is very responsive and fast-the screen is bright, it looks fantastic and videos look great-im no sound expert but the speakers on this laptop meet my standards, I can hear music and videos loud and clear-the keyboard feels very comfortable and responsive. I have big hands so I was bit worried at first but its all good, by far one of the best keyboards ive typed onCons-when you touch the screen it gets a bit wobbly, its not a deal breaker to me but I can see how it could annoy some peeps-you only get 1 usb port, 1 mini display port, headphone jack and the charge port. So if you want to connect an Ethernet cable or more usb sticks you have to buy the Surface Dock wich is like $150 and aint nobody got time for that. The dock seems to be useful but its not necessary, just decide for yourself if you need it or not.Some people say that the Alcantara material gets dirty very fast, but they are probably lazy and dont take the time to clean it. In the instructions it gives you a step by step guide on how to clean the Alcantara parts, its so easy and simple, just get a cloth, warm water and you are good to clean your sweat or whatever from your Surface Laptop. Obviously you need to be careful and not soaked the laptop in water but you're reading this so I know you're a smart person.In my opinion this laptop is worth it, if you feel like you want more storage then consider buying the 256gb vesion but I just carry around an external hard drive so Im more than okay with 128gb. I dont remember if it says this on the buying page but it doesn't come with a mouse or the touch pen so you have to buy them separately. Overall, this laptop is great.
            "
5.0 out of 5 stars,"After a couple of bad experiences with a competitive laptop, I decided to go for the new Microsoft Surface Laptop.  I basically work over the Internet, work with Office 365 and keep absolutely nothing on my laptop.... everything is kept off the machine on an external drive.  Because of that I decided to go for the i5, 4 GB, 128 Gig model.  I felt it would be more than adequate for what I do... and I was right.  I am by no means a ""power user"" that has multiple apps or programs open at the same time.  If that is you, then I would recommend getting the i5, 8GB, 256 Gig SSD model.  But that is just not me, so the base model works great for me.First of all, lets get out of the way the design, quality of build and the rather unique alcantara fabric keyboard and deck covering.... it's all top drawer.  This is built like a tank, yet its in a form factor that is very thin and compact.  Simply put, its a beautiful laptop.  The keyboard is excellent with a good amount of key travel and they are comfortable to use.  The track pad is as good as any I have used on a Windows machine.  No, its not the glass type that you find on an Apple MacBook Pro... but that's ok.  I personally don't use the track pad anyway... so not a big deal for me.  The keyboard is back-lit and easy to work with in low light conditions.I do a lot of live streaming of content over Xfinity and this screen is as good as my MacBook Pro with Retina screen.  I actually like this a bit better.  The picture quality is crisp and colors are sharp and precise. It is covered in Gorilla Glass 3 so will be highly reflective if you have a light in front of it or outside in the open daylight.  None -the-less, it's a beautiful screen and certainly at the top of it's class.The only drawback for some might be the lack of connectors and SD Card slot.  The machine comes with a USB 3.0, 3.5mm Headset jack, mini DisplayPort and Surface Connect.  I like the Surface Connect Power plug as it is somewhat similar to the old Apple magnetic connector... if you happen to hit it, it pops out without doing damage to the connector.  Sadly, Apple did away with that on the latest version of the MacBook products.  That said, I can see where I am going to have to buy a couple of dongles for connecting to various peripherals.The Surface Laptop comes loaded with Windows S... which is useless if you want to download any apps that aren't on the Microsoft Store site... like iTunes.  You have the ability to upgrade to a 1 year free subscription of Windows Pro.  It's $49 annually after the first year.  I have no clue why Microsoft would sell their newest, higher end, laptop with Windows S.  Maybe they will simply give in and allow everyone to upgrade and forget the annual fee.  One can only hope.  I upgraded of course and will continue to use Windows Pro.I guess the long and short of it is that I am just a regular guy (a Consultant) that uses his laptop everyday for everyday types of tasks.  I don't do complex design, art or mathematical work on the machine with numerous applications open at the same time.  As I stated earlier, that is just not me.  This laptop is simply put, the best laptop I have ever had.  It is a beautiful, well built, technologically strong machine that will serve me well for a number of years.  I can't recommend this enough.  It is a real winner and Microsoft has hit a home run without question.
            "
5.0 out of 5 stars,"Having used a surface pro 3, then 4 for the past few years I was ready to try the new surface laptop. The surface book was a bit too heavy . With the sp4's I opted for the i5 with 16gb ram to extend battery life. Also the i7 on the surfaces pro 4 were getting too hot. With the surface laptop I ended up with a i7, 16gb ram it's a bit pricey but it's a work horse and probably best laptop I've had for travel.I do miss the sp4's ability to remove the keyboard and adjust the rear especially in the plane when I can stick it in the seat pocket. Also a bit getting used to having the dock/power mount on the bottom near the keys vs the screen on the sp4.The bigger screen and better keyboard is a nice welcome after so many years with a surface proFor power users I would also recommend the stylus, a usb3 Ethernet adapter as it also provides 3 usb3 slots and an 'active' mini displayport to HDMI .I do wish it had a usb-c slot sometimes .
            "
5.0 out of 5 stars,"I am an intense user and the Surface Laptop is the best laptop I owned so far. Upgraded it to Win 10 Pro since I need a wide variety of software on the machine for professional use (Image processing, CAD, etc.). The upgrade was free and easy. The keyboard is very precise and comfortable, allowing for fast typing. Mouse and touch screen very accurate. The display is crisp with natural colors. Processor and SSD performance is ample. Beautiful detail solutions like the power supply plug and the additional USB charging port in the power supply add to the appeal. And the design is clean, minimalist, beautiful.I hope I will have this laptop for a very long time!
            "
1.0 out of 5 stars," This computer randomly shuts off,  and then some days doesn't even want to turn on.  I keep getting the windows icon and then it shuts down and then turns back on and I can't log in. I have only used this computer 4 times!  It should not be doing this or having this kind of issue!Update 4/19/19Had to return this brand new computer, because days later it still wasn't turning on!  Not sure the crap Microsoft is trying to sell,  but this is the most expensive paperweight I have ever gotten!  I am very unhappy with this!
            "
